County,Total population,Median age,Male total,Female total,2010 White population,2010 Black population,2010 Native population,2010 Asian population,2010 Islander population,2010 Hispanic population
King ,1931249,37,962090,969159,1325845,119801,16147,282075,14486,172895
Pierce ,795225,36,392934,402291,590040,53998,10879,47501,10588,82219
Snohomish ,713335,37,356958,356377,559011,18168,9793,63385,3135,59843
Spokane ,471221,37,232696,238525,420275,8056,7295,9957,1902,23736
Clark ,425363,37,209954,215409,363397,8426,3624,17504,2708,29704
Thurston ,252264,39,122952,129312,207856,6752,3515,13037,1961,19143
Kitsap ,251133,39,127155,123978,207369,6650,4040,12396,2310,18368
Yakima ,243231,32,121676,121555,155056,2320,10568,2560,204,72523
Whatcom ,201140,37,99635,101505,171816,1929,5683,7090,492,14130
Benton ,175177,36,87486,87691,144418,2221,1574,4691,253,22020
Skagit ,116901,40,57980,58921,97448,774,2516,2080,226,13857
Cowlitz ,102410,40,50542,51868,91069,642,1570,1500,232,7397
Grant ,89120,32,45420,43700,64906,990,1088,810,71,21255
Island ,78506,43,38857,39649,67611,1716,658,3440,390,4691
Franklin ,78163,28,40447,37716,47270,1473,531,1434,107,27348
Lewis ,75455,42,37750,37705,67712,405,1073,664,117,5484
Grays Harbor ,72797,42,37357,35440,61825,803,3325,1032,182,5630
Chelan ,72453,39,36130,36323,57484,236,700,588,100,13345
Clallam ,71404,49,35429,35975,62092,596,3630,1007,94,3985
Mason ,60699,44,31400,29299,52281,659,2239,731,227,4562
Walla Walla ,58781,37,29835,28946,49654,1079,603,758,167,6520
Whitman ,44776,24,22806,21970,37866,748,308,3472,103,2279
Stevens ,43531,45,21782,21749,38923,145,2413,237,68,1745
Okanogan ,41120,43,20750,20370,30399,159,4675,237,31,5619
Kittitas ,40915,32,20793,20122,36544,364,394,810,57,2746
Douglas ,38431,37,19198,19233,30573,128,405,283,52,6990
Jefferson ,29872,54,14798,15074,27198,246,681,464,63,1220
Asotin ,21623,44,10453,11170,20392,92,302,117,36,684
Pacific ,20920,51,10488,10432,18286,79,483,427,15,1630
Klickitat ,20318,45,10268,10050,17824,50,481,127,19,1817
Adams ,18728,29,9544,9184,11703,109,356,125,4,6431
San Juan ,15769,53,7665,8104,14597,54,111,181,15,811
Pend Oreille ,13001,48,6593,6408,11907,52,488,73,16,465
Skamania ,11066,44,5565,5501,10265,46,173,96,11,475
Lincoln ,10570,48,5277,5293,10038,28,173,41,5,285
Ferry ,7551,47,3905,3646,5758,26,1259,52,8,448
Columbia ,4078,48,2022,2056,3791,12,58,23,14,180
Wahkiakum ,3978,52,1999,1979,3738,10,52,23,6,149
Garfield ,2266,49,1118,1148,2125,0,6,39,0,96